timezone,date,time,vessels_online,stations_online,stations_offline,extra
India Standard Time,12/10/2021,19:10:37,33741,768,148, STATION LIST
India Standard Time,12/10/2021,19:10:47,33757,768,148, STATION LIST
India Standard Time,12/10/2021,19:10:57,33764,768,148, STATION LIST
India Standard Time,12/10/2021,19:11:07,33782,768,148, STATION LIST
India Standard Time,12/10/2021,19:11:17,33709,768,148, STATION LIST
India Standard Time,12/10/2021,19:11:27,33719,768,148, STATION LIST
India Standard Time,12/10/2021,19:11:37,33737,768,148, STATION LIST
India Standard Time,12/10/2021,19:11:47,33757,768,148, STATION LIST
India Standard Time,12/10/2021,19:11:57,33774,768,148, STATION LIST
India Standard Time,12/10/2021,19:12:07,33789,768,148, STATION LIST
India Standard Time,12/10/2021,19:12:17,33726,768,148, STATION LIST
India Standard Time,12/10/2021,19:12:27,33744,768,148, STATION LIST
India Standard Time,12/10/2021,19:12:37,33759,768,148, STATION LIST
India Standard Time,12/10/2021,19:12:47,33772,768,148, STATION LIST
India Standard Time,12/10/2021,19:12:57,33780,768,148, STATION LIST
India Standard Time,12/10/2021,19:13:07,33830,768,148, STATION LIST
India Standard Time,12/10/2021,19:13:17,33770,768,148, STATION LIST
India Standard Time,12/10/2021,19:13:27,33790,768,148, STATION LIST
India Standard Time,12/10/2021,19:13:37,33813,768,148, STATION LIST
India Standard Time,12/10/2021,19:13:47,33829,768,148, STATION LIST
India Standard Time,12/10/2021,19:13:57,33849,768,148, STATION LIST
India Standard Time,12/10/2021,19:14:07,33873,768,148, STATION LIST
India Standard Time,12/10/2021,19:14:17,33803,768,148, STATION LIST
India Standard Time,12/10/2021,19:14:27,33819,768,148, STATION LIST
India Standard Time,12/10/2021,19:14:37,33852,768,148, STATION LIST
India Standard Time,12/10/2021,19:14:47,33871,768,148, STATION LIST
India Standard Time,12/10/2021,19:14:58,33886,768,148, STATION LIST
India Standard Time,12/10/2021,19:15:08,33901,768,148, STATION LIST
India Standard Time,12/10/2021,19:15:18,33834,768,148, STATION LIST
India Standard Time,12/10/2021,19:15:28,33857,768,148, STATION LIST
India Standard Time,12/10/2021,19:15:38,33875,768,148, STATION LIST
India Standard Time,12/10/2021,19:15:48,33886,768,148, STATION LIST
India Standard Time,12/10/2021,19:15:58,33908,768,148, STATION LIST
India Standard Time,12/10/2021,19:16:08,33929,768,148, STATION LIST
India Standard Time,12/10/2021,19:16:18,33856,768,148, STATION LIST
India Standard Time,12/10/2021,19:16:28,33874,768,148, STATION LIST
India Standard Time,12/10/2021,19:16:38,33884,768,148, STATION LIST
India Standard Time,12/10/2021,19:16:48,33898,768,148, STATION LIST
India Standard Time,12/10/2021,19:16:58,33908,768,148, STATION LIST
India Standard Time,12/10/2021,19:17:08,33926,768,148, STATION LIST
India Standard Time,12/10/2021,19:17:18,33862,768,148, STATION LIST
India Standard Time,12/10/2021,19:47:34,33546,770,146, STATION LIST
India Standard Time,12/10/2021,19:47:44,33558,770,146, STATION LIST
India Standard Time,12/10/2021,19:47:54,33570,770,146, STATION LIST
India Standard Time,12/10/2021,19:48:04,33577,770,146, STATION LIST
India Standard Time,12/10/2021,19:48:14,33508,770,146, STATION LIST
India Standard Time,12/10/2021,19:48:24,33524,770,146, STATION LIST
India Standard Time,12/10/2021,19:48:34,33539,770,146, STATION LIST
India Standard Time,12/10/2021,19:48:44,33553,770,146, STATION LIST
India Standard Time,12/10/2021,19:48:54,33563,770,146, STATION LIST
India Standard Time,12/10/2021,19:49:04,33585,770,146, STATION LIST
India Standard Time,12/10/2021,19:49:14,33495,770,146, STATION LIST
India Standard Time,12/10/2021,19:49:24,33509,770,146, STATION LIST
India Standard Time,12/10/2021,19:49:34,33516,770,146, STATION LIST
India Standard Time,12/10/2021,19:49:44,33527,770,146, STATION LIST
India Standard Time,12/10/2021,19:49:54,33540,770,146, STATION LIST
India Standard Time,12/10/2021,19:50:04,33555,769,147, STATION LIST
India Standard Time,12/10/2021,19:50:14,33483,769,147, STATION LIST
India Standard Time,12/10/2021,19:50:24,33505,769,147, STATION LIST
India Standard Time,12/10/2021,19:50:35,33518,769,147, STATION LIST
