,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total Tenders
Austria,4959.0,4501.0,3245.0,3510.0,3978.0,3714.0,3922.0,3651.0,3746.0,3424.0,17495.0,22891.0,26360.0,2714.0,"118,443"
Belgium,7068.0,6772.0,6206.0,7446.0,7631.0,7516.0,7692.0,8248.0,7385.0,5634.0,5844.0,6007.0,6718.0,4.0,"102,578"
Bulgaria,10647.0,7950.0,8320.0,10307.0,12876.0,12864.0,11718.0,10864.0,12021.0,13033.0,13155.0,10872.0,20124.0,1023.0,"182,284"
Croatia,1.0,0.0,13.0,3686.0,1880.0,2716.0,2998.0,3174.0,4896.0,7408.0,7848.0,7886.0,6149.0,48.0,"258,267"
Cyprus,752.0,728.0,610.0,687.0,669.0,616.0,669.0,704.0,702.0,520.0,518.0,413.0,538.0,2.0,"9,462"
Czech Republic,14582.0,12917.0,13908.0,23241.0,32245.0,26361.0,23724.0,19375.0,13644.0,17361.0,16120.0,15561.0,16910.0,387.0,"271,831"
Denmark,2735.0,3164.0,3121.0,4326.0,4200.0,4181.0,4467.0,2947.0,3171.0,3104.0,3151.0,3014.0,3099.0,1.0,"50,251"
Estonia,7192.0,6421.0,6231.0,8460.0,8044.0,9163.0,10482.0,10055.0,9472.0,6101.0,5879.0,5668.0,6804.0,121.0,"113,802"
EU Institutions,3499.0,6296.0,8410.0,10590.0,11473.0,7004.0,12279.0,29151.0,16855.0,23158.0,23342.0,23394.0,4909.0,,"181,555"
Finland,4314.0,4854.0,3773.0,4178.0,4417.0,4586.0,4557.0,4204.0,3798.0,4054.0,4318.0,4876.0,6011.0,17.0,"65,276"
France,200789.0,252539.0,232112.0,196754.0,187807.0,164719.0,153091.0,129208.0,112327.0,124348.0,127590.0,99752.0,100108.0,125.0,2800000.0
Georgia,,603.0,33057.0,29187.0,29302.0,31533.0,37679.0,39090.0,33952.0,32724.0,34227.0,25603.0,31448.0,657.0,"359,062"
Germany,31831.0,32687.0,23096.0,25034.0,27173.0,28337.0,31894.0,34757.0,40361.0,44587.0,48237.0,51444.0,57314.0,147.0,"537,694"
Greece,4233.0,4650.0,3165.0,4134.0,5582.0,4484.0,3062.0,4233.0,2397.0,3164.0,2944.0,3080.0,3627.0,57.0,"61,360"
Hungary,10579.0,14594.0,12190.0,10040.0,17103.0,18273.0,17999.0,11305.0,12142.0,14856.0,14442.0,12886.0,12323.0,46.0,"196,028"
Iceland,154.0,139.0,128.0,147.0,138.0,125.0,187.0,164.0,205.0,188.0,244.0,272.0,320.0,1.0,"2,911"
Ireland,7100.0,7501.0,9014.0,9006.0,7433.0,6926.0,6654.0,6473.0,7695.0,7876.0,8528.0,8908.0,9922.0,192.0,"134,814"
Italy,15995.0,15547.0,11733.0,15725.0,24410.0,172404.0,1367816.0,1698603.0,2250823.0,2292849.0,2705721.0,3334070.0,13372.0,108.0,14000000.0
Latvia,849.0,1062.0,1015.0,2548.0,20503.0,17711.0,17974.0,18389.0,13368.0,13253.0,12144.0,12828.0,14433.0,64.0,"150,619"
Lithuania,9666.0,16815.0,19590.0,26658.0,27498.0,22769.0,20161.0,20098.0,13170.0,2319.0,2408.0,2945.0,3575.0,45.0,"192,941"
Luxembourg,578.0,560.0,356.0,443.0,444.0,473.0,456.0,511.0,600.0,663.0,815.0,932.0,1129.0,1.0,"9,219"
Malta,417.0,285.0,238.0,332.0,334.0,589.0,636.0,903.0,1097.0,1055.0,693.0,676.0,721.0,6.0,"8,384"
Netherlands,6555.0,6181.0,4614.0,6870.0,10412.0,12596.0,13811.0,14604.0,10925.0,6643.0,6717.0,6714.0,7910.0,18.0,"128,042"
Norway,18954.0,16779.0,17249.0,17808.0,17945.0,15955.0,16047.0,16072.0,11142.0,11617.0,12497.0,12595.0,13877.0,36.0,"267,710"
Poland,241913.0,238118.0,223284.0,228448.0,232783.0,192943.0,157107.0,103732.0,236006.0,320610.0,291744.0,288423.0,59099.0,421.0,2900000.0
Portugal,104664.0,81108.0,70465.0,66118.0,84617.0,102615.0,107837.0,114807.0,127265.0,122274.0,128083.0,139912.0,152560.0,12108.0,1400000.0
Romania,419339.0,797760.0,989327.0,1065050.0,1147490.0,628032.0,1509167.0,3497519.0,2409395.0,2649031.0,2510269.0,2266199.0,333602.0,48.0,20500000.0
Slovakia,3755.0,3037.0,6042.0,9826.0,11036.0,19617.0,12793.0,5844.0,5673.0,16227.0,122527.0,131377.0,106169.0,35.0,"456,309"
Slovenia,9527.0,10745.0,12298.0,10959.0,11484.0,9536.0,8993.0,7488.0,7668.0,8137.0,8375.0,8122.0,9950.0,69.0,"136,760"
Spain,18148.0,16903.0,15127.0,16939.0,19226.0,22513.0,30152.0,42348.0,73243.0,316883.0,429250.0,416387.0,431734.0,173.0,1900000.0
Sweden,6060.0,6869.0,6215.0,8122.0,8857.0,9843.0,9711.0,10478.0,9268.0,9267.0,9141.0,8951.0,10383.0,23.0,"126,084"
Switzerland,3960.0,5636.0,6293.0,6529.0,7260.0,7818.0,9566.0,10007.0,10092.0,10323.0,10895.0,11552.0,13851.0,296.0,"116,322"
United Kingdom,19653.0,18001.0,21636.0,23288.0,23460.0,24645.0,33227.0,47454.0,51063.0,53647.0,55740.0,44968.0,32174.0,1.0,"494,392"
