Title,Issuer,Description,Link to tender,Procurement stage,Notice status,Closing,Contract location,Contract value,Publication date,Last Updated
GB-Cromer: PROC061 Crinkle Crankle Wall,North Norfolk District Council,"This project relates to the repair of parts of a crinkle crankle boundary wall and include pruning trees and scrubs, removing vegetation and extracting invasive growth, lifting and re-setting displaced copings, replacing missing copings, cutting out and replacing damaged bricks, repairing and filling cracks, re-pointing open and/or defective brickw...",https://www.contractsfinder.service.gov.uk/notice/021c7529-5a0a-41dd-a219-503158186648?origin=SearchResults&p=1,Opportunity,Open,"14 July 2022, 12pm",East of England,"£50,000 to £100,000",16 June 2022,2022-06-16 17:51:48.626396
Provision of Pre-Paid Cards,Leicester City Council,"Leicester City Council (the Council) Adult Social Care division has approximately 2000 customers receiving non-residential services.  Of these we have a number in receipt of direct payments, with around 750 users on pre- paid (PPC) cards.  There is also a separate programme for service users who the Council acts as appointee, (approx. 700) 530 of w...",https://www.contractsfinder.service.gov.uk/notice/06bf64b9-d71c-4b8e-824a-f35fa7040f51?origin=SearchResults&p=1,Opportunity,Open,"18 July 2022, 10am",United Kingdom,"£229,400 to £329,400",16 June 2022,2022-06-16 17:51:48.632379
2263a - Stainless Steel Support Structure,CENTRE FOR PROCESS INNOVATION LIMITED,"This tender is for a high-level requirements to design, fabrication and installation of pharmaceutical GMP equipment and Access Platforms for CPI's Medicines Innovation Centre (MMIC) project. The equipment and Access Platforms provide support and operational access for the process and powder formulation equipment within Clean Room 2 (0.34) at the M...",https://www.contractsfinder.service.gov.uk/notice/34cc7589-4081-4363-b82a-cb4eb71a643d?origin=SearchResults&p=1,Opportunity,Open,"24 June 2022, 12pm",United Kingdom,"£177,897.50","27 April 2022, last edited 16 June 2022",2022-06-16 17:51:48.640404
GB-Newcastle Upon Tyne: T21/0085 Provision of Supply and Installation of Solar PV Wynne Jones,Northumbria University,"NOTE: This notice was updated on 16 June 2022 for the following reason: Tender extended due to internal resource availability(As part of Northumbria University's carbon and energy reduction strategy we are seeking to appoint an installer to design, supply, install and commission a Solar PV system of approximately 70 kW, including application to DNO...",https://www.contractsfinder.service.gov.uk/notice/d1bdecd5-86c3-4f43-8247-b6e2a3c2377a?origin=SearchResults&p=1,Opportunity,Open,"17 June 2022, 12pm",North East,"£50,000 to £100,000","30 May 2022, last edited 16 June 2022",2022-06-16 17:51:48.646406
"Building Improvements The Wesley, Cinderford",Cinderford Town Council,"Cinderford Town Council is seeking a contractor (or group of contractors) to carry out repairs and maintenance of the chapel building for community use.

The building is in need of repair works as set out in the attached document.    

Site viewings can be held by arrangement with the Estates Manager, Les Love.  Email les.love@cinderfordtowncou...",https://www.contractsfinder.service.gov.uk/notice/cae1d467-b712-4aba-b888-00396a4da36b?origin=SearchResults&p=1,Opportunity,Open,"18 July 2022,  5pm",GL14 2AB,£0,16 June 2022,2022-06-16 17:51:48.650380
Supply of Energy 2,Crown Commercial Service,"Crown Commercial Service, as the Authority, intends to put in place an agreement for the provision of the supply of electricity and gas for use by Central Government and UK public sector bodies.

Suppliers will be expected to provide a number of additional services including but not limited to flexible billing services, administration, query mana...",https://www.contractsfinder.service.gov.uk/notice/f56df502-4f7a-4f7b-99f1-a7747c50228e?origin=SearchResults&p=1,Future opportunity,Open,Approach to market date 30 September 2022,United Kingdom,"£10,000,000,000","11 May 2021, last edited 16 June 2022",2022-06-16 17:51:48.657383
Healthy Behaviours Service,Torbay Council,"Torbay Council is procuring provision of the Torbay Healthy Behaviours Service. The Service will provide support to residents to make and sustain health behaviour change through delivery of:
• Web-based information, advice and signposting;
• Single point of access and triage;
• Holistic assessment and health coaching;
• Brief advice on asso...",https://www.contractsfinder.service.gov.uk/notice/f6095a5b-dfb9-472f-8468-a38afea9e41c?origin=SearchResults&p=1,Opportunity,Open," 1 August 2022, 12pm",TQ1 3DR,"£1,647,000",16 June 2022,2022-06-16 17:51:48.662390
STRATEGY DEVELOPMENT RESEARCH,National Heritage Memorial Fund,"This research has two main strands, with the overarching aim to find out how the Heritage Fund can support the UK's heritage over the next 10 years, looking at perceptions of heritage and priorities for the Heritage Fund. The first strand comprises a large scale survey, supported by qualitative research with the UK public. The second strand is to r...",https://www.contractsfinder.service.gov.uk/notice/73670ff6-68c2-4d92-9108-0746a25e0f3e?origin=SearchResults&p=1,Opportunity,Open," 7 July 2022, 12pm",United Kingdom,"£85,000","16 June 2022, last edited 16 June 2022",2022-06-16 17:51:48.670376
Poole Bay Beach Management Scheme - Groyne Building Programme 2022-2024,"Bournemouth, Christchurch and Poole Council","The Poole Bay Beach Management Scheme is a 17-year programme to deliver the renewal of coastal defences and to secure coastal protection in Poole Bay for the next 100 years. 

Bournemouth, Christchurch and Poole Council (BCP Council) seek tenders for the procurement of a groyne building contractor for the next phase of groyne replacement on the bea...",https://www.contractsfinder.service.gov.uk/notice/fc72165b-6c55-43b4-9ca4-7a3831da0fd5?origin=SearchResults&p=1,Opportunity,Open,"25 July 2022,  2pm",England,"£2,000,000 to £3,000,000",16 June 2022,2022-06-16 17:51:48.674377
Large Scale Light Installations,Southend-on-sea Borough Council,"Southend LuminoCity is a light festival that initially took place over three nights during February 2022 to celebrate Southend's newly awarded City Status.  

The event was spearheaded by Southend Tourism Partnership and saw ten large-scale installations transform Southend, inviting residents and visitors to experience the city in a new light. The event was a huge...",https://www.contractsfinder.service.gov.uk/notice/dfb85782-9eda-40ea-b083-d7efd0a374c4?origin=SearchResults&p=1,Opportunity,Open,"29 July 2022, 12pm",SS2 6YL,£0,16 June 2022,2022-06-16 17:51:48.679374
